product_id,product_name,category,subcategory,cost_price
P0187,Cricket Product 187,Sports,Cricket,3225.93
P0188,Laptop Product 188,Electronics,Laptop,2125.18
P0189,Fiction Product 189,Books,Fiction,3437.84
P0190,Shirts Product 190,Clothing,Shirts,4826.14
P0191,Jackets Product 191,Clothing,Jackets,3299.17
P0192,Technology Product 192,Books,Technology,3287.64
P0193,Decor Product 193,Home,Decor,1498.54
P0194,Laptop Product 194,Electronics,Laptop,3296.26
P0195,Shirts Product 195,Clothing,Shirts,4574.83
P0196,Jackets Product 196,Clothing,Jackets,4423.0
P0197,Shirts Product 197,Clothing,Shirts,4986.14
P0198,Technology Product 198,Books,Technology,1012.93
P0199,Furniture Product 199,Home,Furniture,145.41
P0200,  FITNESS PRODUCT 200  ,Sports,Fitness,4649.43
P0201,Decor Product 201,Home,Decor,2326.31
P0202,Tennis Product 202,Sports,Tennis,4457.37
P0203,Jackets Product 203,Clothing,Jackets,1436.9
P0204,Headphones Product 204,Electronics,Headphones,896.22
P0205,History Product 205,Books,History,3621.13
P0206,Headphones Product 206,Electronics,Headphones,3974.76
P0207,Cricket Product 207,Sports,Cricket,959.93
P0208,Technology Product 208,Books,Technology,2624.88
P0209,Tablet Product 209,Electronics,Tablet,3379.35
P0210,Jeans Product 210,Clothing,Jeans,2439.53
P0211,Shirts Product 211,Clothing,Shirts,1377.85
P0212,Jackets Product 212,Clothing,Jackets,3793.41
P0213,Decor Product 213,Home,Decor,2954.06
P0214,Fitness Product 214,Sports,Fitness,1381.61
P0215,Kitchen Product 215,Home,Kitchen,404.41
P0216,Tablet Product 216,Electronics,Tablet,1603.35
P0217,History Product 217,Books,History,3482.42
P0218,Decor Product 218,Home,Decor,3111.66
P0219,Jeans Product 219,Clothing,Jeans,2443.09
P0220,  HISTORY PRODUCT 220  ,Books,History,2137.64
P0221,Tennis Product 221,Sports,Tennis,3811.02
P0222,Jeans Product 222,Clothing,Jeans,3433.68
P0223,Fitness Product 223,Sports,Fitness,2674.98
P0224,Football Product 224,Sports,Football,482.7
P0225,Fitness Product 225,Sports,Fitness,402.61
P0226,Cricket Product 226,Sports,Cricket,2906.24
P0227,Jeans Product 227,Clothing,Jeans,1707.78
P0228,Tennis Product 228,Sports,Tennis,669.58
P0229,Jackets Product 229,Clothing,Jackets,545.61
P0230,Tennis Product 230,Sports,Tennis,4062.59
P0231,Science Product 231,Books,Science,2614.91
P0232,Fiction Product 232,Books,Fiction,2838.11
P0233,Furniture Product 233,Home,Furniture,2040.15
P0234,Phone Product 234,Electronics,Phone,2933.73
P0235,Tablet Product 235,Electronics,Tablet,1788.19
P0236,Laptop Product 236,Electronics,Laptop,4679.46
P0237,Tablet Product 237,Electronics,Tablet,255.5
P0238,Science Product 238,Books,Science,3867.96
P0239,History Product 239,Books,History,4965.0
P0240,  TECHNOLOGY PRODUCT 240  ,Books,Technology,4361.14
P0241,Technology Product 241,Books,Technology,493.22
P0242,Cricket Product 242,Sports,Cricket,3302.32
P0243,Furniture Product 243,Home,Furniture,974.52
P0244,Tennis Product 244,Sports,Tennis,2691.33
P0245,Shirts Product 245,Clothing,Shirts,3805.28
P0246,Appliances Product 246,Home,Appliances,3400.15
P0247,Tennis Product 247,Sports,Tennis,2706.47
P0248,Jeans Product 248,Clothing,Jeans,2357.06
P0249,Shoes Product 249,Clothing,Shoes,1023.55
P0250,Laptop Product 250,Electronics,Laptop,4066.44
P0251,Fiction Product 251,Books,Fiction,1279.26
P0252,Laptop Product 252,Electronics,Laptop,3010.33
P0253,Fiction Product 253,Books,Fiction,1299.2
P0254,Tablet Product 254,Electronics,Tablet,2250.92
P0255,Cricket Product 255,Sports,Cricket,3796.49
P0256,Phone Product 256,Electronics,Phone,2569.09
P0257,Kitchen Product 257,Home,Kitchen,4097.35
P0258,Football Product 258,Sports,Football,2929.63
P0259,Kitchen Product 259,Home,Kitchen,1578.65
P0260,  JEANS PRODUCT 260  ,Clothing,Jeans,2126.45
P0261,Furniture Product 261,Home,Furniture,2827.92
P0262,Cricket Product 262,Sports,Cricket,3167.37
P0263,Technology Product 263,Books,Technology,329.73
P0264,Appliances Product 264,Home,Appliances,3950.44
P0265,Appliances Product 265,Home,Appliances,2100.47
P0266,Appliances Product 266,Home,Appliances,1001.01
P0267,Tennis Product 267,Sports,Tennis,1280.74
P0268,Shoes Product 268,Clothing,Shoes,4301.95
P0269,Jackets Product 269,Clothing,Jackets,4582.23
P0270,Tennis Product 270,Sports,Tennis,4842.15
P0271,Cricket Product 271,Sports,Cricket,2003.25
P0272,Kitchen Product 272,Home,Kitchen,1718.29
P0273,Tablet Product 273,Electronics,Tablet,4250.95
P0274,Phone Product 274,Electronics,Phone,352.53
P0275,Fiction Product 275,Books,Fiction,4380.74
P0276,Jeans Product 276,Clothing,Jeans,2449.03
P0277,Decor Product 277,Home,Decor,4789.4
P0278,Phone Product 278,Electronics,Phone,4692.08
P0279,Tablet Product 279,Electronics,Tablet,4580.76
P0280,  CRICKET PRODUCT 280  ,Sports,Cricket,2043.5
P0281,Shoes Product 281,Clothing,Shoes,3900.02
P0282,Technology Product 282,Books,Technology,2714.89
P0283,Decor Product 283,Home,Decor,1381.65
P0284,Tennis Product 284,Sports,Tennis,2383.42
P0285,History Product 285,Books,History,4580.22
P0286,Decor Product 286,Home,Decor,2128.26
P0287,Cricket Product 287,Sports,Cricket,3732.14
P0288,Headphones Product 288,Electronics,Headphones,2811.23
P0289,Tennis Product 289,Sports,Tennis,1546.44
P0290,Shoes Product 290,Clothing,Shoes,1227.09
P0291,Cricket Product 291,Sports,Cricket,2546.58
P0292,Decor Product 292,Home,Decor,3840.47
P0293,Technology Product 293,Books,Technology,2358.06
P0294,Kitchen Product 294,Home,Kitchen,785.8
P0295,Tennis Product 295,Sports,Tennis,1001.83
P0296,Fitness Product 296,Sports,Fitness,2667.33
P0297,Laptop Product 297,Electronics,Laptop,3845.26
P0298,Science Product 298,Books,Science,4228.47
P0299,Shirts Product 299,Clothing,Shirts,3565.13
P0300,  PHONE PRODUCT 300  ,Electronics,Phone,2578.09
P0301,Furniture Product 301,Home,Furniture,3127.39
P0302,Tennis Product 302,Sports,Tennis,3330.49
P0303,Laptop Product 303,Electronics,Laptop,2707.84
P0304,Fiction Product 304,Books,Fiction,181.96
P0305,Decor Product 305,Home,Decor,184.0
P0306,Science Product 306,Books,Science,624.38
P0307,Phone Product 307,Electronics,Phone,1280.75
P0308,Football Product 308,Sports,Football,4094.55
P0309,Appliances Product 309,Home,Appliances,487.19
P0310,Technology Product 310,Books,Technology,2868.51
P0311,Shoes Product 311,Clothing,Shoes,3451.8
P0312,Laptop Product 312,Electronics,Laptop,558.15
P0313,Technology Product 313,Books,Technology,2808.24
P0314,Laptop Product 314,Electronics,Laptop,3543.94
P0315,Tablet Product 315,Electronics,Tablet,4242.12
P0316,Furniture Product 316,Home,Furniture,4484.48
P0317,Phone Product 317,Electronics,Phone,1135.94
P0318,Tennis Product 318,Sports,Tennis,1428.37
P0319,Headphones Product 319,Electronics,Headphones,4506.63
P0320,  FITNESS PRODUCT 320  ,Sports,Fitness,978.84
P0321,Furniture Product 321,Home,Furniture,4811.2
P0322,Cricket Product 322,Sports,Cricket,3786.05
P0323,Fiction Product 323,Books,Fiction,1566.46
P0324,Cricket Product 324,Sports,Cricket,2876.81
P0325,History Product 325,Books,History,1980.85
P0326,Shirts Product 326,Clothing,Shirts,2553.88
P0327,Furniture Product 327,Home,Furniture,578.66
P0328,Shirts Product 328,Clothing,Shirts,1768.9
P0329,Tennis Product 329,Sports,Tennis,4847.71
P0330,Furniture Product 330,Home,Furniture,3207.2
P0331,Technology Product 331,Books,Technology,1217.88
P0332,Tennis Product 332,Sports,Tennis,2216.05
P0333,Tennis Product 333,Sports,Tennis,519.9
P0334,Football Product 334,Sports,Football,4010.47
P0335,Laptop Product 335,Electronics,Laptop,1413.06
P0336,Science Product 336,Books,Science,3724.31
P0337,Decor Product 337,Home,Decor,622.1
P0338,Headphones Product 338,Electronics,Headphones,2279.21
P0339,Furniture Product 339,Home,Furniture,749.28
P0340,  JACKETS PRODUCT 340  ,Clothing,Jackets,2299.33
P0341,Tennis Product 341,Sports,Tennis,606.14
P0342,Headphones Product 342,Electronics,Headphones,2815.68
P0343,Football Product 343,Sports,Football,4332.22
P0344,Headphones Product 344,Electronics,Headphones,2127.67
P0345,Phone Product 345,Electronics,Phone,2902.61
P0346,Jackets Product 346,Clothing,Jackets,930.56
P0347,Decor Product 347,Home,Decor,1415.19
P0348,Shirts Product 348,Clothing,Shirts,919.32
P0349,Appliances Product 349,Home,Appliances,1568.79
P0350,Headphones Product 350,Electronics,Headphones,1333.33
P0351,Jackets Product 351,Clothing,Jackets,3009.65
P0352,Jackets Product 352,Clothing,Jackets,624.16
P0353,Furniture Product 353,Home,Furniture,4749.23
P0354,Appliances Product 354,Home,Appliances,4039.97
P0355,Appliances Product 355,Home,Appliances,1740.21
P0356,Cricket Product 356,Sports,Cricket,1572.13
P0357,Cricket Product 357,Sports,Cricket,2447.15
P0358,Jackets Product 358,Clothing,Jackets,4846.75
P0359,Appliances Product 359,Home,Appliances,4842.04
P0360,  SHOES PRODUCT 360  ,Clothing,Shoes,1942.67
P0361,History Product 361,Books,History,658.05
P0362,Cricket Product 362,Sports,Cricket,3001.91
P0363,Cricket Product 363,Sports,Cricket,3440.39
P0364,Fitness Product 364,Sports,Fitness,4769.72
P0365,Science Product 365,Books,Science,2248.43
P0366,Furniture Product 366,Home,Furniture,4112.93
P0367,Technology Product 367,Books,Technology,781.98
P0368,Kitchen Product 368,Home,Kitchen,1338.14
P0369,Jackets Product 369,Clothing,Jackets,3966.48
P0370,Tablet Product 370,Electronics,Tablet,4954.43
P0371,Technology Product 371,Books,Technology,2718.4
P0372,Fiction Product 372,Books,Fiction,3974.53
P0373,Furniture Product 373,Home,Furniture,635.91
P0374,Shoes Product 374,Clothing,Shoes,915.06
P0375,Fitness Product 375,Sports,Fitness,2859.78
P0376,History Product 376,Books,History,4832.01
P0377,Fiction Product 377,Books,Fiction,151.68
P0378,Kitchen Product 378,Home,Kitchen,2602.31
P0379,Cricket Product 379,Sports,Cricket,2284.31
P0380,  TECHNOLOGY PRODUCT 380  ,Books,Technology,3884.48
P0381,Cricket Product 381,Sports,Cricket,1790.34
P0382,Tablet Product 382,Electronics,Tablet,612.29
P0383,Fiction Product 383,Books,Fiction,668.74
P0384,Shoes Product 384,Clothing,Shoes,1628.26
P0385,Science Product 385,Books,Science,2653.46
P0386,Appliances Product 386,Home,Appliances,578.35
P0387,History Product 387,Books,History,429.15
P0388,Laptop Product 388,Electronics,Laptop,210.67
P0389,Furniture Product 389,Home,Furniture,3417.98
P0390,Jeans Product 390,Clothing,Jeans,2628.37
P0391,Cricket Product 391,Sports,Cricket,1721.85
P0392,Technology Product 392,Books,Technology,1236.09
P0393,Science Product 393,Books,Science,1013.3
P0394,Technology Product 394,Books,Technology,243.04
P0395,Cricket Product 395,Sports,Cricket,2302.92
P0396,Technology Product 396,Books,Technology,121.81
P0397,Jeans Product 397,Clothing,Jeans,1463.89
P0398,Laptop Product 398,Electronics,Laptop,4017.56
P0399,Cricket Product 399,Sports,Cricket,1892.39
P0400,  JACKETS PRODUCT 400  ,Clothing,Jackets,658.38
P0401,History Product 401,Books,History,3025.16
P0402,Tennis Product 402,Sports,Tennis,2976.32
P0403,Decor Product 403,Home,Decor,4243.04
P0404,Cricket Product 404,Sports,Cricket,4087.32
P0405,Furniture Product 405,Home,Furniture,3393.34
P0406,Furniture Product 406,Home,Furniture,1269.01
P0407,Phone Product 407,Electronics,Phone,1929.2
P0408,Jackets Product 408,Clothing,Jackets,2149.37
P0409,Jackets Product 409,Clothing,Jackets,2172.89
P0410,Science Product 410,Books,Science,2819.07
P0411,History Product 411,Books,History,787.45
P0412,Appliances Product 412,Home,Appliances,3135.11
P0413,Furniture Product 413,Home,Furniture,2474.58
P0414,Jackets Product 414,Clothing,Jackets,4822.76
P0415,Tennis Product 415,Sports,Tennis,2104.76
P0416,Technology Product 416,Books,Technology,3579.7
P0417,Technology Product 417,Books,Technology,919.54
P0418,Fitness Product 418,Sports,Fitness,3999.82
P0419,Shoes Product 419,Clothing,Shoes,260.21
P0420,  SHOES PRODUCT 420  ,Clothing,Shoes,924.22
P0421,Technology Product 421,Books,Technology,2793.66
P0422,Laptop Product 422,Electronics,Laptop,1412.66
P0423,Football Product 423,Sports,Football,2756.01
P0424,Tablet Product 424,Electronics,Tablet,2777.13
P0425,Fiction Product 425,Books,Fiction,3706.34
P0426,Shoes Product 426,Clothing,Shoes,4386.57
P0427,Tablet Product 427,Electronics,Tablet,1387.79
P0428,Tablet Product 428,Electronics,Tablet,4339.92
P0429,Phone Product 429,Electronics,Phone,1128.4
P0430,Football Product 430,Sports,Football,4319.14
P0431,Tennis Product 431,Sports,Tennis,913.31
P0432,Jeans Product 432,Clothing,Jeans,4086.3
P0433,Headphones Product 433,Electronics,Headphones,2708.18
P0434,Cricket Product 434,Sports,Cricket,1685.9
P0435,Decor Product 435,Home,Decor,2906.4
P0436,Fitness Product 436,Sports,Fitness,764.39
P0437,Fiction Product 437,Books,Fiction,4963.18
P0438,Jeans Product 438,Clothing,Jeans,1323.42
P0439,Kitchen Product 439,Home,Kitchen,3831.22
P0440,  TECHNOLOGY PRODUCT 440  ,Books,Technology,796.64
P0441,Appliances Product 441,Home,Appliances,1938.34
P0442,Laptop Product 442,Electronics,Laptop,2073.97
P0443,Decor Product 443,Home,Decor,2328.01
P0444,History Product 444,Books,History,2951.58
P0445,Tablet Product 445,Electronics,Tablet,3210.72
P0446,Furniture Product 446,Home,Furniture,3998.82
P0447,Science Product 447,Books,Science,4843.83
P0448,Jackets Product 448,Clothing,Jackets,1415.83
P0449,Decor Product 449,Home,Decor,2781.82
P0450,Jackets Product 450,Clothing,Jackets,3962.69
P0451,Laptop Product 451,Electronics,Laptop,587.92
P0452,Fiction Product 452,Books,Fiction,708.76
P0453,Jackets Product 453,Clothing,Jackets,2336.94
P0454,Science Product 454,Books,Science,4978.9
P0455,Shoes Product 455,Clothing,Shoes,878.99
P0456,Furniture Product 456,Home,Furniture,3307.48
P0457,Furniture Product 457,Home,Furniture,1922.03
P0458,Shirts Product 458,Clothing,Shirts,2042.07
P0459,Kitchen Product 459,Home,Kitchen,2203.23
P0460,  LAPTOP PRODUCT 460  ,Electronics,Laptop,105.32
P0461,Fiction Product 461,Books,Fiction,750.23
P0462,Jackets Product 462,Clothing,Jackets,145.51
P0463,Furniture Product 463,Home,Furniture,4941.96
P0464,Science Product 464,Books,Science,2440.73
P0465,Jackets Product 465,Clothing,Jackets,537.72
P0466,Laptop Product 466,Electronics,Laptop,1635.42
P0467,Kitchen Product 467,Home,Kitchen,1975.33
P0468,Jeans Product 468,Clothing,Jeans,435.22
P0469,Fitness Product 469,Sports,Fitness,3090.56
P0470,Jackets Product 470,Clothing,Jackets,1820.82
P0471,Jeans Product 471,Clothing,Jeans,4607.48
P0472,Tennis Product 472,Sports,Tennis,4313.82
P0473,Laptop Product 473,Electronics,Laptop,786.06
P0474,Tablet Product 474,Electronics,Tablet,1822.52
P0475,History Product 475,Books,History,3976.28
P0476,Shoes Product 476,Clothing,Shoes,3258.64
P0477,Shoes Product 477,Clothing,Shoes,3916.95
P0478,Headphones Product 478,Electronics,Headphones,1106.68
P0479,Cricket Product 479,Sports,Cricket,3764.43
P0480,  FURNITURE PRODUCT 480  ,Home,Furniture,3940.63
P0481,Jackets Product 481,Clothing,Jackets,1990.84
P0482,Jackets Product 482,Clothing,Jackets,3226.6
P0483,Laptop Product 483,Electronics,Laptop,4935.72
P0484,Kitchen Product 484,Home,Kitchen,1995.51
P0485,Tennis Product 485,Sports,Tennis,1890.52
P0486,Jackets Product 486,Clothing,Jackets,4776.82
P0487,Laptop Product 487,Electronics,Laptop,2978.08
P0488,Headphones Product 488,Electronics,Headphones,1157.14
P0489,Tablet Product 489,Electronics,Tablet,2582.39
P0490,Tennis Product 490,Sports,Tennis,2175.52
P0491,Fiction Product 491,Books,Fiction,3238.63
P0492,Cricket Product 492,Sports,Cricket,1459.59
P0493,Furniture Product 493,Home,Furniture,2605.39
P0494,Jeans Product 494,Clothing,Jeans,2728.31
P0495,Fiction Product 495,Books,Fiction,1619.83
P0496,Science Product 496,Books,Science,383.74
P0497,Tablet Product 497,Electronics,Tablet,668.33
P0498,Fitness Product 498,Sports,Fitness,1615.52
P0499,Shirts Product 499,Clothing,Shirts,162.06
P0500,  SHIRTS PRODUCT 500  ,Clothing,Shirts,902.78
