item_id,order_id,product_id,quantity,unit_price,discount_percent
I000178,O00785,P0400,3,3339.76,5
I000179,O00259,P0107,5,452.62,0
I000180,O00075,P0328,4,3111.13,15
I000181,O00877,P0100,4,398.42,10
I000182,O00118,P0364,2,2684.17,15
I000183,O00497,P0237,1,752.13,5
I000184,O00731,P0487,4,1208.02,10
I000185,O00862,P0083,2,6724.12,20
I000186,O00103,P0091,3,1080.8,15
I000187,O00173,P0040,1,5451.33,5
I000188,O00452,P0184,2,1811.71,0
I000189,O00915,P0346,5,1807.72,0
I000190,O00857,P0326,5,5164.0,0
I000191,O00400,P0354,3,3607.49,20
I000192,O00005,P0025,4,6160.2,5
I000193,O00384,P0466,2,1679.89,0
I000194,O00432,P0015,1,2763.22,5
I000195,O00697,P0343,1,1842.49,0
I000196,O00817,P0428,2,5819.69,0
I000197,O00426,P0263,1,6543.43,10
I000198,O00576,P0321,-3,1736.24,20
I000199,O00405,P0481,4,1054.35,5
I000200,O00109,P0183,0,1471.61,15
I000201,O00670,P0162,1,3174.57,15
I000202,O00226,P0034,3,5234.57,10
I000203,O00045,P0035,2,3347.67,20
I000204,O00512,P0053,5,6350.95,20
I000205,O00176,P0129,1,4838.95,15
I000206,O00695,P0474,2,2723.17,10
I000207,O00872,P0342,4,633.36,0
I000208,O00624,P0467,5,3646.4,20
I000209,O00656,P0380,2,4077.02,0
I000210,O00239,P0011,5,6095.63,0
I000211,O00317,P0122,4,6082.24,20
I000212,O00082,P0031,2,3058.74,10
I000213,O00207,P0078,4,1714.64,0
I000214,O00244,P0473,5,7909.56,15
I000215,O00757,P0450,3,1160.71,10
I000216,O00660,P0403,1,4214.9,15
I000217,O00664,P0417,3,6029.35,5
I000218,O00868,P0376,3,2807.55,5
I000219,O00553,P0028,2,6431.47,5
I000220,O00623,P0447,4,4219.63,5
I000221,O00453,P0323,1,610.47,15
I000222,O00072,P0489,2,511.64,5
I000223,O00961,P0105,2,824.9,20
I000224,O00563,P0426,2,1966.85,0
I000225,O00437,P0372,4,2560.56,5
I000226,O00251,P0218,2,4886.22,10
I000227,O00293,P0296,4,7745.03,5
I000228,O00279,P0442,4,732.13,10
I000229,O00408,P0194,2,3818.64,15
I000230,O00518,P0313,4,6106.56,15
I000231,O00021,P0391,-2,6846.93,10
I000232,O00610,P0276,2,4467.53,5
I000233,O00264,P0195,4,2516.19,10
I000234,O00385,P0288,5,3898.67,10
I000235,O00140,P0367,4,1646.15,5
I000236,O00005,P0007,5,5869.91,10
I000237,O00504,P0208,4,7528.25,10
I000238,O00394,P0251,3,5164.28,20
I000239,O00073,P0210,1,7940.53,0
I000240,O00395,P0478,5,1382.66,15
I000241,O00981,P0131,3,4125.91,15
I000242,O00651,P0353,3,5602.0,15
I000243,O00949,P0218,2,2014.59,0
I000244,O00944,P0417,3,5084.53,0
I000245,O00715,P0341,2,2164.51,15
I000246,O00967,P0349,2,2108.88,20
I000247,O00593,P0488,2,197.47,0
I000248,O00660,P0365,4,3241.57,20
I000249,O00998,P0462,1,4196.44,5
I000250,O00898,P0217,2,6655.02,10
I000251,O00709,P0155,5,7744.7,15
I000252,O00601,P0158,4,6044.45,0
I000253,O00112,P0326,5,6235.86,10
I000254,O00834,P0074,3,6014.97,15
I000255,O00716,P0158,1,7897.5,15
I000256,O00002,P0050,1,6212.57,15
I000257,O00538,P0214,3,5891.03,5
I000258,O00181,P0192,2,5661.97,5
I000259,O00499,P0094,5,7593.02,15
I000260,O00581,P0417,2,1566.54,0
I000261,O00768,P0094,2,2148.88,15
I000262,O00452,P0321,5,962.64,5
I000263,O00082,P0151,1,3084.06,10
I000264,O00066,P0176,-3,1954.76,15
I000265,O00689,P0390,1,175.1,10
I000266,O00770,P0490,1,5356.05,0
I000267,O00100,P0109,5,6355.11,15
I000268,O00618,P0267,3,7463.81,15
I000269,O00776,P0173,5,3492.68,10
I000270,O00699,P0456,3,7995.62,5
I000271,O00964,P0185,4,3089.64,0
I000272,O00999,P0183,3,6469.53,0
I000273,O00468,P0446,4,5829.24,5
I000274,O00027,P0309,1,6965.14,10
I000275,O00974,P0359,2,3010.6,20
I000276,O00703,P0338,4,4167.82,5
I000277,O00004,P0327,3,231.38,10
I000278,O00895,P0024,3,5455.64,5
I000279,O00622,P0249,4,5939.72,0
I000280,O00357,P0220,4,7896.28,0
I000281,O00752,P0198,3,4896.67,5
I000282,O00891,P0267,5,6300.41,20
I000283,O00033,P0066,4,6394.88,10
I000284,O00853,P0345,5,7899.03,15
I000285,O00173,P0459,4,7644.9,15
I000286,O00679,P0277,2,2022.51,5
I000287,O00772,P0484,1,933.21,0
I000288,O00165,P0476,3,7230.92,10
I000289,O00226,P0369,3,5360.87,0
I000290,O00682,P0070,5,5105.03,15
I000291,O00093,P0408,3,6988.33,20
I000292,O00785,P0474,5,610.87,10
I000293,O00387,P0467,4,5265.97,20
I000294,O00990,P0439,4,6486.74,5
I000295,O00266,P0060,3,792.67,0
I000296,O00349,P0380,5,7503.96,0
I000297,O00587,P0189,-2,7637.14,20
I000298,O00755,P0001,3,588.89,20
I000299,O00195,P0434,4,7840.81,10
I000300,O00790,P0187,0,4206.04,20
I000301,O00605,P0114,1,3222.97,20
I000302,O00873,P0236,3,1243.14,10
I000303,O00858,P0113,4,5471.85,5
I000304,O00616,P0146,2,6001.77,0
I000305,O00614,P0164,3,4068.79,0
I000306,O00281,P0435,5,3878.43,5
I000307,O00507,P0150,4,564.62,10
I000308,O00157,P0424,2,6799.75,5
I000309,O00718,P0377,1,7392.95,5
I000310,O00878,P0250,4,2462.9,5
I000311,O00023,P0281,4,2765.54,15
I000312,O00357,P0388,4,3189.4,20
I000313,O00745,P0145,3,5601.37,5
I000314,O00718,P0439,5,3210.8,5
I000315,O00332,P0386,5,6940.26,0
I000316,O00871,P0479,3,3714.51,5
I000317,O00592,P0071,4,5598.05,10
I000318,O00919,P0075,2,1823.28,5
I000319,O00753,P0334,1,2961.58,20
I000320,O00105,P0348,2,3074.79,15
I000321,O00696,P0431,2,7415.28,0
I000322,O00365,P0499,4,1519.1,0
I000323,O00121,P0264,3,4787.8,5
I000324,O00643,P0370,4,2035.51,0
I000325,O00247,P0204,4,2491.25,20
I000326,O00978,P0089,4,6229.21,0
I000327,O00797,P0238,4,2274.21,15
I000328,O00377,P0006,1,1021.36,0
I000329,O00501,P0329,5,1876.99,20
I000330,O00587,P0294,-2,5580.43,0
I000331,O00814,P0304,2,3133.28,15
I000332,O00306,P0293,2,885.59,0
I000333,O00731,P0466,5,1560.63,0
I000334,O00404,P0285,5,6289.45,20
I000335,O00501,P0033,5,6713.44,20
I000336,O00731,P0420,1,6052.71,5
I000337,O00989,P0338,1,1527.25,20
I000338,O00712,P0093,1,4482.3,10
I000339,O00126,P0021,2,4643.14,5
I000340,O00090,P0288,3,6826.46,0
I000341,O00087,P0064,5,2458.77,20
I000342,O00176,P0217,1,2061.86,0
I000343,O00969,P0485,5,7246.49,10
I000344,O00675,P0274,4,1204.85,15
I000345,O00712,P0161,5,7295.19,10
I000346,O00621,P0276,5,1757.73,0
I000347,O00679,P0420,1,1973.09,5
I000348,O00146,P0154,2,7663.64,20
I000349,O00566,P0111,5,2936.61,5
I000350,O00747,P0319,4,687.44,10
I000351,O00267,P0196,2,3260.47,0
I000352,O00968,P0131,4,7527.57,5
I000353,O00549,P0105,1,5073.59,10
I000354,O00649,P0357,2,5744.12,20
I000355,O00674,P0332,5,4879.06,15
I000356,O00842,P0079,3,7940.35,15
I000357,O00389,P0014,5,2055.23,10
I000358,O00128,P0273,1,5503.44,15
I000359,O00068,P0169,1,2966.27,10
I000360,O00797,P0140,2,6963.96,5
I000361,O00281,P0006,1,3079.53,5
I000362,O00388,P0488,1,6283.6,0
I000363,O00180,P0270,-3,6588.61,15
I000364,O00098,P0271,3,5633.6,10
I000365,O00565,P0139,5,882.62,0
I000366,O00175,P0163,4,1527.31,20
I000367,O00565,P0305,4,3867.21,5
I000368,O00266,P0005,5,5734.46,5
I000369,O00147,P0194,5,5909.84,0
I000370,O00941,P0372,3,5689.27,5
I000371,O00695,P0312,4,5683.62,5
I000372,O00450,P0182,4,4067.61,10
I000373,O00976,P0220,5,7539.25,5
I000374,O00313,P0326,1,7584.89,15
I000375,O00790,P0161,1,5113.95,0
I000376,O00748,P0123,1,1404.39,0
I000377,O00087,P0381,3,4477.86,15
I000378,O00828,P0448,1,7701.11,15
I000379,O00694,P0261,2,3889.28,20
I000380,O00702,P0347,5,5613.27,15
I000381,O00015,P0316,2,7296.0,0
I000382,O00732,P0218,5,6022.38,5
I000383,O00757,P0339,5,5504.22,0
I000384,O00622,P0230,2,5428.73,20
I000385,O00926,P0116,2,693.47,5
I000386,O00527,P0181,1,3439.51,15
I000387,O00175,P0192,1,2769.87,5
I000388,O00852,P0277,1,2391.51,15
I000389,O00301,P0136,2,117.65,20
I000390,O00404,P0112,3,7439.96,20
I000391,O00846,P0458,1,7489.77,20
I000392,O00869,P0250,1,2910.38,20
I000393,O00472,P0169,3,2895.75,0
I000394,O00359,P0456,2,3276.34,0
I000395,O00104,P0221,4,1660.6,20
I000396,O00527,P0461,-2,1078.36,15
I000397,O00008,P0080,3,1886.15,15
I000398,O00384,P0154,3,3483.9,5
I000399,O00550,P0416,3,958.69,15
I000400,O00673,P0430,0,1378.49,10
I000401,O00766,P0223,1,2937.97,5
I000402,O00114,P0098,3,418.02,15
I000403,O00432,P0381,3,7217.88,5
I000404,O00683,P0102,4,7681.62,10
I000405,O00122,P0216,4,4445.98,5
I000406,O00333,P0385,4,4064.68,15
I000407,O00135,P0057,1,6362.43,5
I000408,O00160,P0177,5,207.83,5
I000409,O00054,P0348,3,3494.35,20
I000410,O00756,P0005,4,3893.52,10
I000411,O00498,P0043,4,2057.2,5
I000412,O00747,P0262,2,2070.79,0
I000413,O00885,P0135,2,5364.01,15
I000414,O00204,P0243,1,5639.05,20
I000415,O00626,P0093,2,7941.16,20
I000416,O00645,P0325,2,1912.14,5
I000417,O00411,P0020,3,7924.15,5
I000418,O00437,P0010,5,1677.18,0
I000419,O00390,P0209,5,2520.92,5
I000420,O00228,P0173,4,3885.64,20
I000421,O00438,P0330,1,2503.89,10
I000422,O00373,P0144,3,5721.53,5
I000423,O00328,P0459,1,1535.84,0
I000424,O00054,P0339,3,1774.62,15
I000425,O00287,P0466,5,896.02,5
I000426,O00259,P0486,4,2972.29,10
I000427,O00115,P0050,1,5495.4,5
I000428,O00340,P0185,3,5969.16,20
I000429,O00542,P0310,-1,5236.96,5
I000430,O00599,P0197,1,7108.83,5
I000431,O00645,P0381,5,1050.8,20
I000432,O00992,P0468,2,1624.13,15
I000433,O00948,P0051,1,7540.36,20
I000434,O00352,P0155,4,7918.19,5
I000435,O00547,P0370,2,446.11,5
I000436,O00429,P0282,3,7143.53,20
I000437,O00999,P0178,3,3643.01,0
I000438,O00933,P0224,1,3914.28,20
I000439,O00954,P0488,5,6347.99,5
I000440,O00614,P0141,2,2388.29,20
I000441,O00063,P0407,2,5951.65,15
I000442,O00507,P0351,5,6975.02,0
I000443,O00170,P0225,5,3134.79,15
I000444,O00411,P0311,3,1734.7,0
I000445,O00164,P0293,2,4777.69,0
I000446,O00901,P0476,5,3697.98,20
I000447,O00266,P0156,2,2441.27,10
I000448,O00566,P0061,2,1869.04,20
I000449,O00244,P0150,1,5152.96,10
I000450,O00950,P0069,3,6999.72,0
I000451,O00658,P0128,2,4323.3,0
I000452,O00665,P0178,5,7780.53,10
I000453,O00086,P0485,5,2185.9,5
I000454,O00419,P0460,5,2429.67,0
I000455,O00641,P0418,1,6609.06,5
I000456,O00749,P0495,3,1496.21,0
I000457,O00551,P0337,5,940.9,15
I000458,O00969,P0335,3,6973.2,20
I000459,O00565,P0106,4,1843.05,10
I000460,O00209,P0298,4,1329.57,5
I000461,O00748,P0372,4,3012.26,15
I000462,O00096,P0254,-2,1561.72,5
I000463,O00194,P0292,4,7552.5,5
I000464,O00664,P0145,1,2550.27,5
I000465,O00838,P0202,5,1584.0,5
I000466,O00074,P0219,2,3694.69,15
I000467,O00103,P0371,5,1184.6,0
I000468,O00618,P0052,4,3133.53,0
I000469,O00847,P0007,1,1144.21,0
I000470,O00275,P0074,5,206.63,0
I000471,O00981,P0406,1,4384.72,10
I000472,O00874,P0363,1,1698.34,15
I000473,O00778,P0289,4,6542.17,10
I000474,O00340,P0246,2,2026.09,20
I000475,O00709,P0137,5,1072.3,0
I000476,O00106,P0279,3,910.27,15
I000477,O00146,P0001,2,289.61,15
I000478,O00395,P0076,3,5277.38,5
I000479,O00944,P0451,4,5525.45,0
I000480,O00504,P0087,1,1873.73,10
I000481,O00366,P0040,5,2736.43,10
I000482,O00946,P0474,1,7175.13,20
I000483,O00155,P0092,4,4290.8,20
I000484,O00186,P0348,4,1286.74,10
I000485,O00640,P0419,3,2852.25,0
I000486,O00278,P0470,4,5327.68,10
I000487,O00831,P0465,1,6331.96,5
I000488,O00797,P0336,2,2630.02,15
I000489,O00458,P0370,4,6535.73,0
I000490,O00592,P0219,3,1242.88,10
I000491,O00131,P0094,4,2885.61,15
I000492,O00435,P0247,4,4853.77,10
I000493,O00142,P0411,2,3127.16,20
I000494,O00510,P0276,5,3991.55,20
I000495,O00842,P0118,-1,4689.62,15
I000496,O00540,P0296,2,5654.44,5
I000497,O00371,P0002,2,7951.85,0
I000498,O00372,P0286,4,7665.16,0
I000499,O00062,P0467,3,2950.78,5
I000500,O00302,P0236,0,6698.49,20
I000501,O00996,P0477,4,2015.73,5
I000502,O00058,P0383,2,1026.16,5
I000503,O00387,P0376,1,5599.37,15
I000504,O00381,P0028,1,5335.7,0
I000505,O00489,P0429,5,6976.77,0
I000506,O00151,P0188,2,724.05,0
I000507,O00013,P0292,4,1282.77,5
I000508,O00482,P0381,2,6010.05,10
I000509,O00482,P0211,3,3607.39,0
I000510,O00294,P0057,2,574.01,0
I000511,O00619,P0385,2,4076.03,0
I000512,O00406,P0427,4,5471.24,15
I000513,O00568,P0365,3,7361.29,20
I000514,O00314,P0364,2,3447.0,5
I000515,O00279,P0499,1,4219.86,5
I000516,O00761,P0109,4,4990.45,5
I000517,O00402,P0095,5,4880.16,0
I000518,O00837,P0355,4,3871.59,15
I000519,O00848,P0195,2,531.91,10
I000520,O00663,P0218,2,2232.36,0
I000521,O00080,P0186,5,6252.5,10
I000522,O00029,P0123,3,1385.81,0
I000523,O00067,P0109,5,186.72,10
I000524,O00193,P0283,2,5143.27,0
I000525,O00247,P0138,1,7815.64,20
I000526,O00046,P0289,4,460.88,10
I000527,O00096,P0484,3,166.98,10
I000528,O00770,P0145,-3,1639.58,15
I000529,O00744,P0183,2,5650.99,0
I000530,O00340,P0209,5,897.92,5
I000531,O00025,P0301,4,3867.93,0
I000532,O00298,P0083,2,5490.75,0
I000533,O00907,P0321,1,7627.26,5
I000534,O00906,P0111,2,6173.72,5
I000535,O00987,P0257,5,7939.0,20
I000536,O00668,P0268,3,3635.09,5
I000537,O00348,P0149,3,5025.42,15
I000538,O00041,P0457,4,1988.97,20
I000539,O00622,P0039,2,4578.52,15
I000540,O00100,P0413,1,1226.72,10
I000541,O00561,P0445,1,4041.41,15
I000542,O00322,P0087,3,1375.63,10
I000543,O00591,P0187,3,804.91,5
I000544,O00728,P0396,4,2137.76,15
I000545,O00263,P0391,4,5237.31,5
I000546,O00963,P0064,5,3957.25,10
I000547,O00880,P0147,4,3331.36,20
I000548,O00940,P0349,2,3582.54,20
I000549,O00866,P0320,3,3052.1,15
I000550,O00519,P0231,3,7031.53,0
I000551,O00636,P0330,1,5954.24,5
I000552,O00717,P0421,5,162.75,0
I000553,O00298,P0193,2,4604.06,0
I000554,O00229,P0199,4,5386.29,10
I000555,O00478,P0240,5,7211.0,15
I000556,O00112,P0044,2,5881.05,15
I000557,O00787,P0222,2,3272.01,0
I000558,O00325,P0176,5,3941.73,15
I000559,O00118,P0143,4,402.43,5
I000560,O00972,P0241,2,5157.71,10
I000561,O00582,P0017,-2,592.96,10
I000562,O00809,P0221,4,1786.02,5
I000563,O00889,P0012,4,2231.8,5
I000564,O00086,P0073,1,2263.85,0
I000565,O00306,P0448,4,6983.18,20
I000566,O00220,P0343,3,1554.22,0
I000567,O00095,P0459,4,2801.95,10
I000568,O00169,P0102,3,7541.34,15
I000569,O00487,P0275,2,7728.16,15
I000570,O00364,P0468,5,3174.19,0
I000571,O00575,P0401,5,1668.62,20
I000572,O00632,P0075,3,5346.1,10
I000573,O00015,P0078,4,7477.17,15
I000574,O00886,P0163,1,6356.93,15
I000575,O00270,P0267,1,7907.08,5
I000576,O00650,P0231,5,869.82,5
I000577,O00764,P0097,4,5601.92,5
I000578,O00616,P0194,2,2849.88,5
I000579,O00996,P0348,5,7645.33,10
I000580,O00834,P0187,1,2485.36,10
I000581,O00515,P0420,1,5624.61,15
I000582,O00424,P0211,3,2882.47,20
I000583,O00437,P0268,3,995.7,5
I000584,O00470,P0220,3,1497.47,20
I000585,O00167,P0278,4,3114.35,15
I000586,O00650,P0146,5,7509.42,0
I000587,O00090,P0413,1,808.14,0
I000588,O00632,P0478,4,919.03,20
I000589,O00950,P0279,1,5104.85,20
I000590,O00596,P0413,1,5374.91,15
I000591,O00217,P0115,4,4457.54,0
I000592,O00201,P0439,4,7609.36,10
I000593,O00991,P0407,4,3362.18,15
I000594,O00008,P0482,-1,4109.73,10
I000595,O00901,P0338,3,2528.43,15
I000596,O00690,P0124,1,7211.48,15
I000597,O00034,P0008,1,1311.67,10
I000598,O00861,P0419,5,6578.27,20
I000599,O00326,P0172,2,7677.37,15
I000600,O00248,P0285,0,1622.02,15
I000601,O00849,P0027,5,3489.91,15
I000602,O00746,P0089,4,7242.95,20
I000603,O00163,P0224,2,886.67,5
I000604,O00517,P0061,5,6295.82,10
I000605,O00858,P0284,2,7594.73,5
I000606,O00096,P0048,1,3555.63,20
I000607,O00157,P0015,5,5689.85,0
I000608,O00586,P0196,1,5964.48,5
I000609,O00465,P0325,3,1573.79,5
I000610,O00305,P0100,5,6739.61,15
I000611,O00789,P0134,1,2272.22,5
I000612,O00643,P0012,5,6948.82,0
I000613,O00471,P0475,5,1069.21,5
I000614,O00290,P0135,2,832.94,15
I000615,O00865,P0186,2,3187.32,15
I000616,O00815,P0012,4,681.25,0
I000617,O00216,P0352,4,3064.51,10
I000618,O00649,P0466,4,6487.54,5
I000619,O00306,P0006,2,5311.36,20
I000620,O00876,P0017,1,7809.74,10
I000621,O00496,P0315,5,4417.21,5
I000622,O00535,P0380,3,7420.01,5
I000623,O00621,P0016,5,282.0,20
I000624,O00780,P0079,2,6948.31,0
I000625,O00921,P0112,1,2687.56,5
I000626,O00086,P0373,2,2213.97,15
I000627,O00205,P0489,-2,5693.86,10
I000628,O00479,P0382,4,3544.89,15
I000629,O00945,P0099,3,1466.38,10
I000630,O00985,P0202,1,4710.82,20
I000631,O00320,P0085,2,7634.72,15
I000632,O00444,P0453,4,3447.52,10
I000633,O00836,P0164,5,949.72,15
I000634,O00440,P0103,5,2888.03,0
I000635,O00461,P0086,1,7668.97,10
I000636,O00601,P0210,3,4870.67,20
I000637,O00361,P0204,1,1005.73,10
I000638,O00440,P0405,2,2926.18,0
I000639,O00221,P0337,3,3038.52,10
I000640,O00126,P0005,3,5537.51,10
I000641,O00219,P0239,5,6382.39,5
I000642,O00576,P0034,4,2340.55,5
I000643,O00540,P0112,1,4531.57,20
I000644,O00969,P0453,1,4634.19,15
I000645,O00699,P0388,4,2610.49,10
I000646,O00203,P0101,1,6441.53,15
I000647,O00048,P0141,4,1042.15,15
I000648,O00176,P0308,3,4770.25,5
I000649,O00591,P0011,3,240.91,20
I000650,O00005,P0467,4,2346.49,15
I000651,O00038,P0459,5,7352.47,0
I000652,O00346,P0331,1,648.69,0
I000653,O00850,P0411,4,5813.7,10
I000654,O00325,P0386,3,3262.72,20
I000655,O00794,P0161,4,4937.33,15
I000656,O00306,P0357,4,3997.36,0
I000657,O00864,P0192,5,911.67,5
I000658,O00049,P0423,1,1196.0,10
I000659,O00883,P0353,4,1888.1,0
I000660,O00196,P0371,-3,7917.56,0
I000661,O00266,P0453,1,975.35,10
I000662,O00077,P0136,3,5534.58,15
I000663,O00277,P0358,2,7406.38,20
I000664,O00472,P0062,2,2622.73,5
I000665,O00772,P0300,4,5131.54,0
I000666,O00535,P0271,2,4665.29,15
